"NET_INCOME","OP_PROFIT_LOSS","OP_REVENUES","PAX_SERVICE","AIRCFT_SERVICES","PROMOTION_SALES","OP_EXPENSES","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","REGION","YEAR","QUARTER",
,9956.00,411879.00,34691.00,67272.00,72250.00,401923.00,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.","D",2000,2,
,,0.00,,,,0.00,20371,"RLQ","Reliant Airlines","RLQ","Reliant Airlines","S",2001,2,
,,0.00,,,,0.00,20371,"RLQ","Reliant Airlines","RLQ","Reliant Airlines","I",2001,2,
,165.73,37023.38,,3181.61,1433.04,36857.64,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","D",2010,2,
,-89.03,38535.66,,3222.46,1459.63,38624.69,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","D",2010,3,
,29.20,6522.16,,560.48,252.45,6492.97,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","A",2010,2,
,-15.45,6689.70,,559.41,253.39,6705.16,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","A",2010,3,
,439.12,98096.12,,8429.89,3796.94,97657.00,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","P",2010,2,
,-225.66,97680.83,,8168.34,3699.89,97906.49,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","P",2010,3,
,-46.61,12329.62,,1234.61,569.88,12376.23,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","D",2009,2,
,-6.11,21699.77,,2138.22,979.74,21705.88,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","D",2009,3,
,-67.50,17855.70,,1787.96,825.30,17923.21,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","A",2009,2,
,-5.36,19056.55,,1877.77,860.40,19061.91,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","A",2009,3,
,-258.57,68394.23,,6848.58,3161.21,68652.79,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","P",2009,2,
,-20.04,71192.99,,7015.11,3214.34,71213.03,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","P",2009,3,
,5127.24,44438.47,1804.38,5743.49,2569.46,39311.23,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines","L",2011,1,
,5812.67,45807.41,1684.75,5206.78,2336.36,39994.74,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines","L",2011,2,
,7708.22,49947.44,1786.77,5733.77,2674.57,42239.23,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines","L",2011,3,
,5438.19,44018.27,1788.79,5151.12,2325.87,38580.09,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines","L",2012,1,
,7663.40,48136.83,1680.07,5675.19,2293.79,40473.43,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines","L",2012,2,
,7278.23,50149.37,1837.02,6557.27,2416.50,42871.14,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines","L",2012,3,
,6109.28,45563.77,2083.05,1198.90,732.05,39454.49,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines","L",2013,1,
,10758.39,50228.75,1533.19,2505.52,1970.73,39470.37,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines","L",2013,3,
-10256486.00,-147225.00,2885356.00,185837.00,386756.00,221115.00,3032581.00,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.","D",2005,4,
-4572596.01,-2908378.00,1207881.00,300142.00,661741.00,169003.00,4116259.00,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.","D",2020,2,
-4458674.00,-34938.00,3415460.00,205360.00,393164.00,217465.00,3450398.00,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.","D",2008,1,
-4000676.00,-29097.00,2241938.00,98049.00,329822.00,192925.00,2271035.00,19386,"NW","Northwest Airlines Inc.","NW","Northwest Airlines Inc.","D",2008,1,
-3773431.00,-17711.00,836234.00,104107.00,98642.00,79890.00,853945.00,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.","P",2005,4,
-2148973.00,-16832.00,519822.00,66124.00,83776.00,38265.00,536654.00,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.","A",2005,4,
-1735853.74,-2102709.99,6047387.70,526995.32,677679.88,250647.17,8150097.69,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.","D",2020,1,
-1632097.00,-198046.00,3165536.00,278527.00,462920.00,261773.00,3363582.00,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.","D",2004,2,
-1550844.00,-281602.00,2990524.00,240129.00,442506.00,183621.00,3272126.00,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.","D",2006,1,
-1538579.79,-4029704.61,1414451.07,389308.98,525826.53,78572.92,5444155.68,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.","D",2020,2,
-1497819.00,392702.00,3542805.00,197979.00,378132.00,241921.00,3150103.00,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.","D",2006,2,
-1372278.00,-582.00,297277.00,14915.00,54800.00,505.00,297859.00,20417,"OH (1)","Comair Inc.","OH","Comair Inc.","D",2004,4,
-1272938.00,92610.00,3162509.00,197305.00,393254.00,219968.00,3069899.00,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.","D",2006,4,
-1272348.00,-115085.00,893436.00,53719.00,102846.00,56886.00,1008521.00,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.","A",2008,1,
-1224217.00,-199727.00,1006786.00,99553.00,149495.00,181307.00,1206513.00,19704,"CO","Continental Air Lines Inc.","CO","Continental Air Lines Inc.","D",1990,4,
-1105174.00,48382.00,3576673.00,221568.00,451234.00,199516.00,3528291.00,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.","D",2013,4,
-1100395.86,-2198532.83,925843.42,187052.71,882583.92,73007.40,3124376.26,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.","D",2020,2,
-1099842.00,-616360.00,2751952.00,420760.00,644246.00,278337.00,3368312.00,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.","D",2002,1,
-1068634.00,-157436.00,3489124.00,242245.00,483185.00,203408.00,3646560.00,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.","D",2012,1,
-1044322.00,-817306.00,1415812.00,160276.00,320840.00,146481.00,2233118.00,20355,"US","US Airways Inc.","US","US Airways Inc.","D",2001,4,
-1027770.00,-952011.00,3756891.00,277035.00,543328.00,239652.00,4708902.00,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.","D",2008,2,
-1016756.00,59567.00,3064774.00,183170.00,386558.00,219688.00,3005207.00,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.","D",2005,3,
-1009425.00,-238575.00,1468096.00,166647.00,323984.00,261087.00,1706671.00,20355,"US","US Airways Inc.","US","USAir","D",1992,4,
-989668.00,-752698.00,2169817.00,310044.00,546159.00,261750.00,2922515.00,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.","D",2002,4,
-965139.40,-589042.69,5077445.07,399750.11,1096753.06,263220.40,5666487.76,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.","D",2020,1,
-963145.00,-872726.00,2891694.00,412927.00,651804.00,291291.00,3764420.00,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.","D",2003,1,
-921885.00,-608083.00,2004991.00,255466.00,495089.00,233394.00,2613074.00,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.","D",2003,1,
-921343.00,-334371.00,3136723.00,217571.00,446591.00,263750.00,3471094.00,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.","D",2005,4,
-914578.00,-2216779.00,1007273.00,345720.00,703594.00,110015.00,3224052.00,19393,"WN","Southwest Airlines Co.","WN","Southwest Airlines Co.","D",2020,2,
-913559.00,-194240.00,3265788.00,250460.00,438192.00,211797.00,3460028.00,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.","D",2005,3,
-911943.00,-24866.00,2874127.00,197627.00,371877.00,228163.00,2898993.00,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.","D",2005,2,
-897697.00,-401542.00,2957224.00,255881.00,462255.00,259281.00,3358766.00,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.","D",2005,1,
-825143.00,-181490.00,2141862.00,90725.00,322969.00,161983.00,2323352.00,19386,"NW","Northwest Airlines Inc.","NW","Northwest Airlines Inc.","D",2008,4,
-789387.00,-1182266.00,2792148.00,448627.00,627943.00,263086.00,3974414.00,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.","D",2002,3,
-778126.00,-604790.00,3442310.00,252007.00,528963.00,197518.00,4047100.00,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.","D",2011,4,
-757962.00,-156498.00,1751419.00,184066.00,374021.00,221295.00,1907917.00,20355,"US","US Airways Inc.","US","US Airways Inc.","D",2001,3,
